Дано:
при x = 0.20 , y = 2.020
при x = 0.40 , y = 1.670
при x = 0.60 , y = 1.570
при x = 0.80 , y = 1.370
при x = 1.00 , y = 0.850
при x = 1.20 , y = 0.350
при x = 1.40 , y = -0.610
при x = 1.60 , y = -1.390
при x = 1.80 , y = -2.280
при x = 2.00 , y = -3.570

Производная табличной функции сплайном:
при x = 0.20 , y = -1.750
при x = 0.25 , y = -1.786
при x = 0.30 , y = -1.824
при x = 0.35 , y = -1.826
при x = 0.40 , y = -1.750
при x = 0.45 , y = -1.424
при x = 0.50 , y = -1.056
при x = 0.55 , y = -0.723
при x = 0.60 , y = -0.500
при x = 0.65 , y = -0.382
при x = 0.70 , y = -0.435
при x = 0.75 , y = -0.646
при x = 0.80 , y = -1.000
при x = 0.85 , y = -1.475
при x = 0.90 , y = -1.972
при x = 0.95 , y = -2.382
при x = 1.00 , y = -2.600
при x = 1.05 , y = -2.579
при x = 1.10 , y = -2.437
при x = 1.15 , y = -2.351
при x = 1.20 , y = -2.500
при x = 1.25 , y = -3.001
при x = 1.30 , y = -3.697
при x = 1.35 , y = -4.370
при x = 1.40 , y = -4.800
при x = 1.45 , y = -4.836
при x = 1.50 , y = -4.583
при x = 1.55 , y = -4.213
при x = 1.60 , y = -3.900
при x = 1.65 , y = -3.781
при x = 1.70 , y = -3.856
при x = 1.75 , y = -4.091
при x = 1.80 , y = -4.450
при x = 1.85 , y = -4.899
при x = 1.90 , y = -5.405
при x = 1.95 , y = -5.933

graph has been saved to txt\output_mm_010_spline.png
